frame,id,label,conf,center_x,center_y
1,1,person,0.8159915804862976,711,258
1,2,person,0.6267602443695068,462,231
1,3,person,0.6045701503753662,427,328
1,4,person,0.5930358171463013,340,139
1,5,person,0.532529354095459,628,262
1,6,person,0.5128442049026489,466,143
1,7,person,0.5009706616401672,532,170
2,1,person,0.8183262348175049,711,258
2,2,person,0.6273741722106934,462,231
2,3,person,0.600741446018219,427,328
2,4,person,0.5935580730438232,340,139
2,5,person,0.5381186008453369,628,262
2,6,person,0.5131548643112183,466,144
2,7,person,0.5049490928649902,532,170
3,1,person,0.8349167108535767,712,259
3,3,person,0.6956184506416321,428,327
3,4,person,0.6237035393714905,341,139
3,5,person,0.5903815627098083,628,257
3,2,person,0.5775824189186096,462,230
3,8,person,0.5508968234062195,644,157
3,9,person,0.5332568287849426,49,231
4,1,person,0.8337185978889465,713,259
4,3,person,0.6813251972198486,429,326
4,5,person,0.6285777688026428,620,258
4,4,person,0.5914368629455566,341,138
5,1,person,0.8531485795974731,716,259
5,3,person,0.7169816493988037,430,327
5,4,person,0.5649009943008423,341,138
5,5,person,0.5517280697822571,630,255
5,2,person,0.5516237020492554,459,230
6,1,person,0.8757866621017456,719,260
6,3,person,0.6803222894668579,430,327
6,5,person,0.5834524631500244,634,250
6,4,person,0.5741792917251587,343,137
6,2,person,0.5355624556541443,457,230
7,1,person,0.8871694207191467,721,261
7,5,person,0.7286695241928101,637,243
7,9,person,0.6343496441841125,49,231
7,4,person,0.6214792132377625,344,138
7,7,person,0.5115597248077393,568,164
7,7,person,0.5065510272979736,592,157
8,1,person,0.8843026161193848,723,261
8,5,person,0.7460755109786987,636,244
8,9,person,0.6804307103157043,49,231
8,3,person,0.6212174296379089,431,328
8,4,person,0.6060971617698669,346,138
8,9,person,0.5611981153488159,83,195
9,1,person,0.8905370831489563,725,261
9,5,person,0.7459465861320496,636,245
9,9,person,0.5815131664276123,83,195
9,4,person,0.56498783826828,347,137
9,9,person,0.5143778324127197,47,228
10,1,person,0.8761343359947205,726,264
10,5,person,0.7502257823944092,636,245
10,9,person,0.6426778435707092,83,195
10,10,person,0.5899339318275452,529,154
10,9,person,0.5542855858802795,45,228
10,4,person,0.5450742840766907,349,138
11,1,person,0.8776809573173523,727,267
11,5,person,0.7718239426612854,636,245
